Domain Name,Record Name,Record Type,Record Value
vrone.world,_aa8b5d0e2ea4b9adcf51c971c85c4e08.vrone.world.,CNAME,_903e383ac625797d34e1e496daf4e0a6.hkvuiqjoua.acm-validations.aws.
www.vrone.world,_ca4b0627b9bced42f561a1549c9b3d43.www.vrone.world.,CNAME,_c333365b8eb7a3b8205e8f60ec2c6240.hkvuiqjoua.acm-validations.aws.
